GL, Contrast, Homogeneity, Energy, AutoCorrelation
4.000000,0.179063,0.910658,0.231865,8.140310
8.000000,0.401322,0.821130,0.086295,27.209318
12.000000,0.726398,0.744594,0.044545,57.569483
16.000000,1.177080,0.679611,0.027223,99.091536
20.000000,1.751102,0.623651,0.018187,151.929318
24.000000,2.453430,0.576139,0.012975,216.129483
28.000000,3.277190,0.536398,0.009731,291.492156
32.000000,4.230000,0.502882,0.007593,378.049339
36.000000,5.310558,0.471018,0.006050,475.947596
40.000000,6.516777,0.444982,0.004951,584.997472
44.000000,7.859573,0.420052,0.004104,705.318402
48.000000,9.319373,0.398840,0.003468,837.099862
52.000000,10.911901,0.379886,0.002967,979.886178
56.000000,12.632410,0.362328,0.002571,1133.898898
60.000000,14.462018,0.346526,0.002249,1299.251047
64.000000,16.418933,0.332505,0.001982,1475.797094
68.000000,18.533636,0.318601,0.001757,1663.971143
72.000000,20.755923,0.305967,0.001572,1862.946556
76.000000,23.122713,0.294649,0.001413,2073.298237
80.000000,25.579394,0.284187,0.001279,2294.679614
84.000000,28.196804,0.274609,0.001161,2527.911446
88.000000,30.930310,0.264996,0.001058,2771.845482
92.000000,33.773085,0.256292,0.000970,3027.320813
96.000000,36.783526,0.248531,0.000892,3294.256343
100.000000,39.887555,0.241371,0.000824,3571.787624
104.000000,43.158829,0.233988,0.000761,3860.603464
108.000000,46.504890,0.227084,0.000707,4161.465220
112.000000,49.993643,0.220820,0.000658,4473.189236
116.000000,53.634945,0.215038,0.000614,4795.809050
120.000000,57.371019,0.209350,0.000575,5129.797528
124.000000,61.259656,0.203977,0.000539,5474.861185
128.000000,65.215468,0.198635,0.000506,5831.645048
132.000000,69.406563,0.193555,0.000476,6199.893726
136.000000,73.630076,0.188957,0.000449,6579.077720
140.000000,77.998237,0.184707,0.000424,6969.086171
144.000000,82.582831,0.180385,0.000401,7371.124325
148.000000,87.173264,0.177182,0.000381,7783.722355
152.000000,91.955076,0.172729,0.000361,8207.815048
156.000000,96.843457,0.169278,0.000343,8643.376488
160.000000,101.839945,0.165317,0.000326,9089.653051
164.000000,107.007039,0.162246,0.000311,9547.757348
168.000000,112.284910,0.159239,0.000296,10017.255179
172.000000,117.690048,0.155935,0.000283,10498.212507
176.000000,123.243478,0.153116,0.000271,10988.951088
180.000000,128.894139,0.149874,0.000259,11491.777734
184.000000,134.656749,0.146938,0.000248,12006.152961
188.000000,140.549167,0.144675,0.000238,12531.796157
192.000000,146.604504,0.141889,0.000229,13068.473368
196.000000,152.790544,0.139325,0.000219,13615.861006
200.000000,159.048506,0.137145,0.000211,14175.224187
204.000000,165.499848,0.134956,0.000203,14746.193361
208.000000,172.082713,0.132434,0.000195,15326.882128
212.000000,178.721866,0.130935,0.000188,15919.920138
216.000000,185.500062,0.128169,0.000181,16523.712018
220.000000,192.481977,0.126242,0.000175,17139.532590
224.000000,199.433147,0.124212,0.000169,17766.276866
228.000000,206.707824,0.122345,0.000163,18404.313361
232.000000,214.057631,0.120619,0.000158,19053.774628
236.000000,221.430764,0.118629,0.000153,19713.902782
240.000000,228.972789,0.116863,0.000148,20385.247417
244.000000,236.680565,0.115305,0.000143,21068.001260
248.000000,244.503017,0.113699,0.000139,21762.828244
252.000000,252.417197,0.111955,0.000134,22467.599766
256.000000,260.468154,0.110281,0.000130,23184.559194
