#GL, Contrast, Homogeneity, Energy, AutoCorrelation
4.000000,0.179063,0.910658,0.231865,8.140310
8.000000,0.401322,0.821130,0.086295,27.209318
12.000000,0.726398,0.744594,0.044545,57.569483
16.000000,1.177080,0.679611,0.027223,99.091536
20.000000,1.751102,0.623651,0.018187,151.929318
24.000000,2.453430,0.576139,0.012975,216.129483
28.000000,3.277190,0.536398,0.009731,291.492156
32.000000,4.230000,0.502882,0.007593,378.049339
36.000000,5.310558,0.471018,0.006050,475.947596
40.000000,6.516777,0.444982,0.004951,584.997472
44.000000,7.859573,0.420052,0.004104,705.318402
48.000000,9.319373,0.398840,0.003468,837.099862
52.000000,10.911901,0.379886,0.002967,979.886178
56.000000,12.632410,0.362328,0.002571,1133.898898
60.000000,14.462018,0.346526,0.002249,1299.251047
64.000000,16.418933,0.332505,0.001982,1475.797094
68.000000,18.533636,0.318601,0.001757,1663.971143
72.000000,20.755923,0.305967,0.001572,1862.946556
76.000000,23.122713,0.294649,0.001413,2073.298237
80.000000,25.579394,0.284187,0.001279,2294.679614
84.000000,28.196804,0.274609,0.001161,2527.911446
88.000000,30.930310,0.264996,0.001058,2771.845482
92.000000,33.773085,0.256292,0.000970,3027.320813
96.000000,36.783526,0.248531,0.000892,3294.256343
100.000000,39.887555,0.241371,0.000824,3571.787624
104.000000,43.158829,0.233988,0.000761,3860.603464
108.000000,46.504890,0.227084,0.000707,4161.465220
112.000000,49.993643,0.220820,0.000658,4473.189236
116.000000,53.634945,0.215038,0.000614,4795.809050
120.000000,57.371019,0.209350,0.000575,5129.797528
124.000000,61.259656,0.203977,0.000539,5474.861185
128.000000,65.215468,0.198635,0.000506,5831.645048
