# GLCMMinValue	GLCMMaxValue
218.0888	1820.2391
31.0911	2593.1202
24.6922	2489.9143
7.3264	2788.8025
209.3502	1812.3788
227.2164	2699.6817
7.2202	2660.9827
29.8527	2902.7471
7.0176	2652.9655
0	3135.494
14.5984	3144.8509
228.5932	3235.3251
0.00031789	3290.6797
0.00029344	3000.8473
6.3314E-05	2663.3498
0.00030671	2857.3372
0.00020077	3259.3366
18.1818	3110.683
11.8341	3041.9216
123.6145	2805.3132
469.2072	3115.6294
509.509	1679.1176
385.0558	3093.0602
491.057	3320.9163
476.9241	1793.0407
584.5133	3162.5014
386.7731	1696.9254
8.6581	3231.0239
0.0003668	3469.2015
56.5125	3101.7505
11.0489	3182.5481
106.9716	2803.7995
15.0372	2956.3297
32.4349	2893.1454
0.00064248	3204.865
78.2523	2855.9092
144.8309	2834.1177
28.9875	3043.7411
66.6917	3146.3044
397.5603	3016.7856
12.9034	2751.1552
229.26	3003.8807
169.7186	3013.6736
292.9866	2979.2332
487.8082	1546.3797
4.4149	2644.832
658.7271	1392.025
0.00046239	2665.2676
5.3908	3123.6734
13.2449	3099.3565
0.00020807	3128.8562
12.7396	3120.8951
9.3018	2988.4591
254.8922	2896.7614
43.6751	3009.7634
51.2934	3147.2821
169.9001	1700.6446
618.1492	1292.7682
281.8514	2751.922
176.5575	2768.6125
362.3551	3003.1124
394.1015	3349.9042
421.5945	3043.4639
442.7364	3323.7649
266.8045	2995.7321
5.0124	2655.2164
18.0183	2506.0003
6.9994E-05	2634.1752
65.2403	2269.31
6.6006	2518.7202
29.8525	2598.566
0.00010746	3561.2828
