# GLCMMinValue	GLCMMaxValue	Range
31.0911	2593.1202	2562.0291
24.6922	2489.9143	2465.2221
7.3264	2788.8025	2781.4761
218.0888	1820.2391	1602.1503
209.3502	1812.3788	1603.0286
227.2164	2699.6817	2472.4653
7.2202	2660.9827	2653.7625
29.8527	2902.7471	2872.8944
7.0176	2652.9655	2645.9479
0	3135.494	3135.494
14.5984	3144.8509	3130.2525
228.5932	3235.3251	3006.7319
0.00031789	3290.6797	3290.67938211
0.00029344	3000.8473	3000.84700656
6.3314E-05	2663.3498	2663.349736686
0.00030671	2857.3372	2857.33689329
0.00020077	3259.3366	3259.33639923
18.1818	3110.683	3092.5012
11.8341	3041.9216	3030.0875
123.6145	2805.3132	2681.6987
469.2072	3115.6294	2646.4222
509.509	1679.1176	1169.6086
385.0558	3093.0602	2708.0044
491.057	3320.9163	2829.8593
476.9241	1793.0407	1316.1166
584.5133	3162.5014	2577.9881
386.7731	1696.9254	1310.1523
8.6581	3231.0239	3222.3658
0.0003668	3469.2015	3469.2011332
56.5125	3101.7505	3045.238
11.0489	3182.5481	3171.4992
106.9716	2803.7995	2696.8279
15.0372	2956.3297	2941.2925
32.4349	2893.1454	2860.7105
0.00064248	3204.865	3204.86435752
78.2523	2855.9092	2777.6569
144.8309	2834.1177	2689.2868
28.9875	3043.7411	3014.7536
66.6917	3146.3044	3079.6127
397.5603	3016.7856	2619.2253
12.9034	2751.1552	2738.2518
229.26	3003.8807	2774.6207
169.7186	3013.6736	2843.955
292.9866	2979.2332	2686.2466
487.8082	1546.3797	1058.5715
4.4149	2644.832	2640.4171
658.7271	1392.025	733.2979
0.00046239	2665.2676	2665.26713761
5.3908	3123.6734	3118.2826
13.2449	3099.3565	3086.1116
0.00020807	3128.8562	3128.85599193
12.7396	3120.8951	3108.1555
9.3018	2988.4591	2979.1573
254.8922	2896.7614	2641.8692
43.6751	3009.7634	2966.0883
51.2934	3147.2821	3095.9887
169.9001	1700.6446	1530.7445
618.1492	1292.7682	674.619
281.8514	2751.922	2470.0706
176.5575	2768.6125	2592.055
362.3551	3003.1124	2640.7573
394.1015	3349.9042	2955.8027
421.5945	3043.4639	2621.8694
442.7364	3323.7649	2881.0285
266.8045	2995.7321	2728.9276
5.0124	2655.2164	2650.204
18.0183	2506.0003	2487.982
6.9994E-05	2634.1752	2634.175130006
65.2403	2269.31	2204.0697
6.6006	2518.7202	2512.1196
29.8525	2598.566	2568.7135
0.00010746	3561.2828	3561.28269254
