GLCMMinValue	GLCMMaxValue	Range
0	1664.0629	1664.0629
9.171E-05	1330.8331	1330.83300829
0	1601.2074	1601.2074
9.1708E-05	1674.7329	1674.732808292
0.00010839	2049.6994	2049.69929161
0	2011.7975	2011.7975
100.1075	2161.7704	2061.6629
0	1917.8605	1917.8605
7.9491E-05	2267.4215	2267.421420509
0.0003726	2569.862	2569.8616274
8.5173E-05	2183.8801	2183.880014827
0.00039743	2217.6141	2217.61370257
242.5665	1867.8254	1625.2589
99.9784	2037.881	1937.9026
259.423	2116.8564	1857.4334
306.3551	2737.8075	2431.4524
108.8952	2997.4186	2888.5234
528.7186	2792.3015	2263.5829
92.921	2551.7855	2458.8645
9.9346E-05	2228.1319	2228.131800654
0.00031791	2141.5047	2141.50438209
0.000502	1921.1515	1921.150998
250.907	2383.8289	2132.9219
314.0631	2254.4782	1940.4151
0	1936.0754	1936.0754
0	1708.7142	1708.7142
0.00019868	1990.7483	1990.74810132
9.9342E-05	2704.5267	2704.526600658
0.00026493	2378.9514	2378.95113507
0.00017032	2473.097	2473.09682968
0.00010839	2355.9173	2355.91719161
92.6026	1277.2082	1184.6056
0	1322.2443	1322.2443
9.1706E-05	1880.2557	1880.255608294
92.6157	1704.1382	1611.5225
289.6985	1971.789	1682.0905
