# AcquisitionDate	AcquisitionTime	PercentUniformityIntegral	GhostingRatio	GhostingRatioSlice5	GhostingRatioSlice5STD	SlicePositionAccuracySlice1	SlicePositionAccuracySlice11	DiameterXSlice1	DiameterXSlice5	DiameterYSlice1	DiameterYSlice5	DiameterDiag1Slice1	DiameterDiag1Slice5	DiameterDiag2Slice1	DiameterDiag2Slice5	SliceThickness	UL1Score	LR1Score	UL2Score	LR2Score	UL3Score	LR3Score	SNR
2014-11-20	10:26:26.0000000	89.3608668911599	0.000235789365309432	0.000570408525996352	2.81035571463307	1.954	-0.977	18.9538	19.0515	19.0515	19.1492	18.9291071110076	18.9291071110076	18.9291071110076	18.9291071110076	5.32061651376147	4	4	4	4	1	1	414.175989530426
2014-12-03	15:53:13.0000000	90.2448808320112	0.000706686126043488	0.000653805069612447	2.68623663069709	0.976999999999997	-2.931	18.9538	18.9538	19.1492	19.0515	18.9291071110076	19.0672757760515	19.0672757760515	18.9291071110076	5.0804	4	4	4	3	1	1	409.616452338391
2014-12-09	17:33:45.0000000	90.5832133596616	0.00175890388034245	0.000222800744352873	1.19789851361382	-0.976999999999997	-3.908	18.8561	18.9538	19.1492	19.1492	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.02728155339806	4	4	4	4	1	1	412.325753301582
2014-12-10	14:45:57.0000000	89.3476470365387	0.0103012722604061	0.0126828545984554	20.605765675129	-0.977	-2.931	18.9538	18.9538	19.0515	19.0515	18.9291071110076	18.9291071110076	18.9291071110076	18.9291071110076	4.98078431372549	4	4	4	2	1	1	182.775403619301
2014-12-10	15:58:24.0000000	90.11803138955	0.000801180083107022	0.000126505250673977	0.235890701159665	-0.977	-2.931	18.9538	18.9538	19.1492	19.1492	19.0672757760515	18.9291071110076	19.0672757760515	19.0672757760515	5.12878476190476	4	4	4	3	1	1	253.140914067194
2014-12-10	15:29:45.0000000	90.29309752647	0.000832652686132381	0.00125848485073217	4.71106900886281	0.977	-0.977	18.8561	18.9538	19.1492	19.1492	18.9291071110076	18.9291071110076	19.0672757760515	18.9291071110076	5.21553644859813	4	4	4	3	2	1	261.64849990676
2014-12-11	08:44:59.0000000	90.2124075444933	0.00129844617463996	0.000795503408742303	2.97540350285442	-1.954	-4.885	18.9538	18.9538	19.1492	19.1492	19.0672757760515	18.9291071110076	18.9291071110076	19.0672757760515	4.885	4	4	4	4	2	1	406.763819098974
2014-12-12	15:10:55.0000000	90.2311375738948	0.00145745825787154	0.002432550303236	7.00518782424688	-1.954	-3.908	18.9538	18.9538	19.1492	19.1492	18.9291071110076	19.0672757760515	19.0672757760515	18.9291071110076	4.867414	4	4	4	3	2	1	384.927695190916
2014-12-15	16:34:06.0000000	90.7541974907642	0.00205714308342253	0.000809559994903828	2.42375591960033	-1.954	-3.908	18.9538	18.9538	19.1492	19.0515	18.9291071110076	19.0672757760515	19.0672757760515	19.0672757760515	4.93336633663366	4	4	4	3	2	2	394.3458275809
2014-12-16	13:48:03.0000000	90.3022970341632	0.000546531304360353	0.00113503440345473	3.09616576254225	-1.954	-3.908	18.9538	18.9538	19.1492	19.1492	18.9291071110076	19.0672757760515	19.0672757760515	19.0672757760515	4.68145833333333	4	4	4	4	1	1	395.108742563506
2014-12-17	14:25:40.0000000	89.6556856201178	0.00117828016424199	0.00127758386593086	4.0396402102463	-1.954	-4.885	18.9538	18.9538	19.0515	19.1492	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	4.78530612244898	4	4	4	3	2	1	388.18576458653
2014-12-18	16:23:38.0000000	91.560092689749	0.0008109768314544	0.00202450050801692	5.75304928102033	-1.954	-3.908	18.9538	19.0515	19.0515	19.0515	18.9291071110076	18.9291071110076	18.9291071110076	18.9291071110076	4.877184	4	4	4	3	1	1	386.183714071103
