# SNR	DayOfWeek
336.691318422666	Friday
396.918986708495	Friday
397.931676726583	Friday
384.927695190916	Friday
334.049423733016	Friday
411.097558744594	Friday
410.910540395602	Friday
345.594156416846	Friday
413.758678456161	Monday
319.949699710583	Monday
338.492635695941	Monday
344.772413902322	Monday
393.782006057497	Monday
349.982392323746	Monday
394.3458275809	Monday
341.558507880323	Saturday
401.469307946375	Saturday
252.123907424799	Sunday
414.175989530426	Thursday
142.576178494855	Thursday
141.33619289383	Thursday
386.183714071103	Thursday
139.526623527196	Thursday
406.763819098974	Thursday
403.887255287983	Thursday
410.347410934368	Thursday
342.149684086561	Thursday
395.25230766622	Thursday
323.026265114272	Thursday
398.725319773516	Tuesday
392.982347250104	Tuesday
412.325753301582	Tuesday
398.881549667684	Tuesday
395.108742563506	Tuesday
332.240141497911	Tuesday
399.922199219947	Tuesday
331.045021664207	Tuesday
373.783661378067	Wednesday
409.616452338391	Wednesday
388.18576458653	Wednesday
131.518333667406	Wednesday
352.214513607152	Wednesday
369.960113737416	Wednesday
182.775403619301	Wednesday
406.480252762562	Wednesday
408.216985181663	Wednesday
253.140914067194	Wednesday
261.64849990676	Wednesday
